Property_ID,Host_ID,Property_Type,Room_Type,Location_City,Location_Country,No_of_Bedrooms,No_of_Bathrooms,Amenities,Price_per_Night
0,81,House,Private room,Belindahaven,Greece,3,2,"why, good, tonight, realize, beautiful",880.36
1,243,Villa,Shared room,East Travis,Portugal,2,3,"though, while, certainly, it, letter",109.95
2,167,Studio,Entire place,Osbornechester,Papua New Guinea,3,3,"buy, name, subject, rock, old",404.32
3,87,Villa,Private room,Sandersmouth,Algeria,5,3,"meeting, attack, our, apply, different",702.78
4,176,Apartment,Shared room,East Steven,Sudan,5,2,"anything, example, edge, final, how",60.32
5,264,House,Entire place,West Anitaberg,Guam,5,2,"general, important, thank, minute, until",542.71
6,95,House,Shared room,Jasonville,Timor-Leste,5,2,"light, each, can, evidence, later",934.34
7,61,Studio,Entire place,Lorichester,Cyprus,5,3,"memory, page, pattern, political, stay",773.03
8,100,Studio,Entire place,Andrefurt,Cape Verde,4,3,"cover, truth, hit, purpose, deal",291.28
9,299,Studio,Private room,North Kylestad,Panama,5,2,"news, phone, at, treat, special",311.62
10,189,Studio,Private room,Tammychester,Oman,5,1,"popular, prove, degree, do, rest",273.26
11,165,House,Private room,South Benjamin,Cyprus,3,1,"argue, by, protect, impact, government",591.04
12,81,House,Entire place,New Paulhaven,Rwanda,4,1,"brother, of, wait, while, use",183.19
13,185,Villa,Entire place,Julieview,Niue,3,1,"open, institution, artist, there, baby",536.8
14,142,Apartment,Private room,Port Albert,Yemen,3,2,"computer, enough, role, begin, war",277.8
15,151,Villa,Entire place,New Williamberg,Malaysia,4,3,"anything, wait, realize, each, hotel",253.01
16,15,Studio,Entire place,South Abigailmouth,Jamaica,5,3,"each, art, small, pick, laugh",51.57
17,300,House,Entire place,Robertsberg,Vanuatu,1,2,"reach, foot, religious, mission, free",254.36
18,86,Studio,Private room,Jonesport,Nigeria,3,1,"catch, station, interesting, suffer, PM",448.75
19,33,Studio,Shared room,West Kaitlyn,Azerbaijan,3,2,"process, own, move, window, town",727.66
