Booking_ID,Property_ID,Date_ID,Customer_ID,Host_ID,Revenue,Nights_Booked,Number_of_Guests,Cleaning_Fee,Service_Fee
0,789,1159,3090,135,3213.39,18,5,190.09,121.4
1,341,762,2579,75,205.34,19,6,56.29,21.99
2,350,799,1165,43,2130.46,13,7,139.33,120.65
3,742,90,539,283,2581.05,9,1,60.42,56.15
4,674,70,2500,175,3609.21,21,6,119.42,50.01
5,533,283,3405,260,128.34,4,6,101.92,49.87
6,106,624,1679,20,1635.26,4,4,37.03,31.43
7,901,934,2833,33,3642.36,14,2,82.67,29.36
8,400,1174,3738,41,4831.59,17,8,184.08,108.9
9,1431,1185,3226,263,1484.07,13,5,53.4,82.04
10,1293,1443,1345,114,3284.05,18,2,169.34,84.52
11,1202,681,2391,278,986.14,13,1,95.03,37.67
12,463,213,3392,274,2068.72,19,4,91.58,63.34
13,1094,1646,2186,42,1057.33,6,8,188.38,16.13
14,1073,1793,1040,26,2753.23,15,1,26.77,64.68
15,1322,1212,4090,251,4462.52,4,2,169.11,24.59
16,1375,1417,467,106,3979.75,4,2,60.43,24.05
17,1478,282,3367,255,2677.48,5,7,64.67,125.04
18,51,740,1167,226,744.03,5,4,113.11,63.71
19,794,1560,3164,80,664.97,18,6,60.3,14.88
20,679,133,2332,35,2611.12,6,5,22.64,71.6
21,137,1298,4450,194,4600.4,19,1,187.61,135.72
22,627,212,529,209,342.86,11,8,78.77,37.92
23,441,11,3046,69,4826.96,21,6,170.91,48.43
24,443,1069,4930,40,3008.18,10,6,126.48,78.15
25,981,928,4778,158,214.3,9,1,35.77,100.19
26,310,1037,12,32,2491.48,12,8,119.14,51.29
27,457,1573,2751,64,1264.15,6,6,27.45,51.2
28,376,56,2503,104,4776.14,5,6,41.53,70.43
29,1432,357,366,60,2349.06,6,4,87.28,129.64
30,317,1699,816,64,3062.98,7,8,68.92,42.54
31,171,1796,4520,142,1947.6,13,4,93.62,23.57
32,205,1484,2755,184,2313.87,19,2,76.13,38.59
33,1164,705,2332,29,2544.43,8,6,186.29,78.66
34,337,1570,1841,293,2051.34,16,2,156.17,94.04
35,1070,169,493,23,977.41,4,2,122.18,16.69
36,179,937,2511,36,1027.16,14,1,192.92,104.24
37,813,587,2669,142,3373.02,14,5,134.43,25.86
38,485,574,4910,8,785.59,16,6,52.74,27.97
39,64,1600,3937,63,912.98,19,7,135.65,15.02
40,1442,72,1938,168,1031.35,12,2,115.15,33.41
41,193,211,2540,51,622.75,1,5,166.82,129.32
42,171,253,4939,49,2280.6,10,3,52.55,149.45
43,1290,521,4134,232,2798.26,13,2,127.91,14.42
44,1086,1565,1226,50,4701.62,9,7,20.0,44.9
45,351,3,848,12,3192.68,5,5,186.56,13.68
46,1083,1005,2438,146,3655.56,16,2,108.27,116.17
47,818,762,2933,86,4827.47,18,8,110.61,90.84
48,1137,30,817,5,4988.15,16,8,136.74,107.95
49,1121,719,798,204,3559.85,7,4,27.49,109.78
50,1021,597,129,93,3033.85,17,3,93.23,10.63
51,219,851,2908,5,386.99,5,1,147.02,99.36
52,633,411,2359,119,833.24,17,5,84.38,37.05
53,192,1519,4012,146,801.47,14,1,55.56,24.02
54,107,409,3774,168,4822.87,5,4,62.68,41.8
55,1245,190,1148,225,1310.96,21,3,112.61,28.14
56,208,992,781,122,1222.69,7,8,81.89,111.36
57,1324,457,698,113,2436.13,8,3,64.58,134.54
58,695,506,4100,215,1763.42,17,3,174.91,46.76
59,990,1516,1974,186,3811.72,18,2,167.24,26.5
60,907,1333,100,107,3966.38,13,7,121.01,31.49
61,666,1429,2495,133,4387.24,14,8,101.79,24.7
62,1106,165,1769,154,2936.23,5,8,118.19,103.02
63,916,1596,2972,296,2361.81,20,4,73.61,138.25
64,223,757,750,259,69.53,18,2,156.62,81.16
65,545,877,3013,132,4853.54,5,4,41.03,20.0
66,1227,1021,1767,151,3789.34,18,8,175.29,49.18
67,831,584,3875,289,1663.45,4,3,175.55,115.55
68,207,1595,3940,11,3885.92,4,5,156.32,59.94
69,342,575,177,14,4380.63,10,6,90.34,51.91
70,616,1752,1611,51,3100.59,5,3,97.58,10.57
71,669,1730,3501,233,445.17,21,7,175.46,121.63
72,1458,1730,522,130,1457.58,6,7,77.4,133.19
73,872,142,1512,198,2183.89,11,4,148.86,128.29
74,87,285,3937,241,1218.6,4,4,52.55,131.02
75,105,1518,2914,163,968.88,3,7,28.93,59.16
76,1292,820,2052,20,2957.94,17,7,179.87,96.2
77,971,93,25,256,2522.03,15,3,131.52,71.37
78,975,380,150,27,4014.26,15,6,50.75,23.71
79,1475,1341,105,102,2114.54,6,1,93.55,125.08
80,994,1704,3544,124,996.14,21,5,98.58,27.39
81,530,1092,2457,140,3556.67,14,2,139.97,41.82
82,660,672,3094,46,4649.7,15,7,91.91,37.79
83,1041,616,398,188,66.03,8,4,107.52,145.21
84,1477,987,1086,13,1944.5,18,4,141.04,21.59
85,991,1350,1006,81,2657.88,9,6,169.93,146.96
86,610,1514,4699,66,2933.7,18,8,170.84,106.62
87,749,914,3733,56,1244.92,21,2,146.7,32.19
88,977,678,812,299,1095.47,19,7,55.93,77.26
89,1069,1769,24,122,1085.89,13,4,27.75,50.58
90,642,742,1323,281,4611.88,14,1,177.97,55.23
91,201,1318,2147,208,725.22,3,7,151.38,130.71
92,178,1262,1043,70,455.61,21,7,29.45,27.26
93,226,796,2171,125,2215.95,14,4,33.79,83.13
94,310,1263,4266,205,3615.08,13,8,140.02,88.16
95,478,1275,771,77,2894.53,8,7,196.71,88.3
96,81,125,4981,250,4407.49,17,6,163.2,23.56
97,1209,1669,3153,39,623.97,5,3,58.87,30.31
98,713,1754,4346,273,3290.89,9,1,20.6,86.41
99,785,1759,1200,19,2899.77,15,3,45.67,49.62
100,882,286,2471,271,2383.39,5,7,137.93,114.25
101,1226,958,1172,164,2191.57,5,4,62.21,102.89
102,674,429,2787,205,197.77,6,2,157.91,91.05
103,1276,545,1259,229,3319.43,6,6,160.83,94.48
104,9,1463,4627,155,3221.51,3,1,86.58,26.19
105,411,1688,1654,230,1850.67,18,3,195.26,26.13
106,71,444,1045,290,4948.41,13,3,52.29,78.43
107,1208,1219,2238,158,1908.34,17,5,22.06,106.76
108,1285,861,1584,142,3095.53,19,8,73.98,51.17
109,756,560,3831,107,1319.76,7,8,147.8,15.02
110,586,1179,4915,77,3891.93,17,8,120.96,131.36
111,134,725,1598,19,1635.49,3,8,28.0,109.87
112,428,790,3373,250,4295.78,6,4,169.7,35.92
113,1025,1753,4392,153,4879.8,10,6,40.62,136.82
114,469,846,1564,72,1890.28,18,2,86.18,124.58
115,1271,619,83,128,1950.51,14,6,90.02,74.3
116,614,19,659,232,2158.9,9,8,98.72,25.26
117,1392,1657,611,210,4413.34,7,1,38.4,102.34
118,660,1824,2093,297,1684.3,11,7,76.05,22.33
119,652,708,4226,170,2842.84,2,3,70.92,134.79
120,1297,1525,2457,288,1878.86,6,4,58.31,127.48
121,1404,139,2393,299,1978.36,12,1,84.73,117.87
122,111,674,3237,174,2786.7,9,4,126.63,96.92
123,790,318,3131,160,4375.75,9,2,52.47,129.03
124,721,937,4700,93,4221.33,2,5,125.29,31.28
125,351,35,3345,291,4329.97,13,6,167.99,52.91
126,1279,1157,3285,249,4747.19,12,6,40.5,132.92
127,926,97,2701,60,1227.44,7,1,151.58,123.98
128,829,1492,2123,269,4233.96,20,1,141.74,33.0
129,1330,1785,4244,29,3646.41,18,7,85.98,71.64
130,1341,509,1740,192,1761.67,21,1,146.2,136.28
131,795,212,1340,249,1657.01,4,6,94.51,53.15
132,824,39,3235,179,814.04,20,6,84.59,148.0
133,551,428,3287,92,3106.39,18,8,118.69,124.09
134,531,435,2480,263,2013.73,9,3,70.26,83.28
135,9,1606,1748,70,4609.15,1,4,180.41,29.53
136,1351,597,646,248,3749.5,13,4,181.89,95.31
137,344,717,2234,236,1676.18,15,1,31.68,34.43
138,1034,1708,4782,283,524.14,4,4,21.59,65.51
139,1236,863,509,262,3700.09,4,3,166.49,50.57
140,14,876,2582,257,2736.75,17,4,172.33,24.99
141,1409,921,2823,181,585.97,2,5,52.76,23.86
142,803,679,2596,246,1857.9,21,3,99.24,33.96
143,30,1518,4616,114,562.51,17,1,108.79,127.25
144,322,1627,579,95,482.51,9,7,105.18,83.11
145,905,908,4050,115,1581.17,5,2,130.95,103.21
146,370,263,466,224,2812.33,11,5,106.29,66.27
147,1175,1371,1595,174,3571.74,18,8,126.2,129.29
148,1130,104,1282,42,4221.46,16,3,64.38,57.36
149,525,508,1238,146,3791.67,2,3,91.6,109.86
150,695,161,4133,87,2960.16,6,6,115.25,95.65
